URL,Autore,Destinatario,Descrizione Attività,Stato attuale,Modifica proposta,Note/Commenti,riferimento materiali,Stato
Home page,LM/LC/BC,tutti,Definizione Logo,,Inserire logo con quello in riferimento,,"logo DaisySolution.png",Da fare
Home page,LM/LC/BC,tutti,Definizione testo Software gestionale per retail,"Il gestionale web che cresce con te Modulare, SaaS, integrazioni native. Già scelto da 270 affiliati Unieuro e 200+ negozi Expert. Gestisci vendite, magazzino, e-commerce da un'unica piattaforma.","Il gestionale cloud che cresce con te, modulare, Saas, integrazioni native e scalabile su più negozi",,,Da fare
Home page,LM/LC/BC,tutti,Dashboard DaisySolution,nessuna ,inserire quella in riferimento,,foto homepage.png,Da fare
Home page,LM/LC/BC,tutti,Pulsante Richiedi Demo,Pulsante Richiedi Demo,Pulsante Richiedi Info,,,Da fare
Home page,LM/LC/BC,tutti,Pulsante Guarda Video,Pulsante Guarda Video,rimuovere pulsante,,,Da fare
Home page,LM/LC/BC,tutti,Pulsante Scarica Brochure,Pulsante Scarica Brochure,Inserire brochure in riferimento,,brochure.pdf,Da fare
Home page,LM/LC/BC,tutti,"in "" i 4 pilastri "" (secondo, basso dx)","Scala da 1 a 270+ negozi. Architettura multi-tenant nativa. Gestisci filiali, franchising, affiliati. 270 Unieuro, 200+ Expert, 85.000 SKU senza problemi. Architettura multi-tenant nativa. Gestisci filiali, franchising, affiliati. 270 Unieuro, 200+ Expert, 85.000 SKU senza problemi.","Scala da 1 a ∞ negozi. Architettura multi-tenant. Gestisci filiali, franchising e affiliati",∞ (simbolo infinito). Sostituire l'icona con quella in riferimento,"logo infinito bianco.png",Da fare
Home page,LM/LC/BC,tutti,"in "" i 4 pilastri ""(terzo riquadro, basso sx)","Integrazioni native. eBay, Amazon, etichette elettroniche, FastLabel, comparatori prezzi. Setup in 2 giorni, non mesi. eBay, Amazon, etichette elettroniche, FastLabel, comparatori prezzi. Setup in 2 giorni, non mesi.","Integrazioni native. eBay, Amazon, Aruba, etichette elettroniche, Eldomcat FastLabel, comparatori prezzi. Setup in 2 giorni, non mesi.",,,Da fare
Home page,LM/LC/BC,tutti,"in "" i 4 pilastri ""(secondo riquadro, alto dx)","SaaS e sempre aggiornato. Niente installazioni, niente aggiornamenti manuali. Accedi da qualsiasi dispositivo, ovunque sei. 99.7% uptime garantito.","SaaS e sempre aggiornato Niente installazioni, niente aggiornamenti manuali. Accedi da qualsiasi dispositivo, ovunque sei. 99.9% uptime garantito.",,,Da fare
Home page,LM/LC/BC,tutti,"in "" i 4 pilastri ""(primo riquadro, alto a sx)","Niente installazioni, niente aggiornamenti manuali. Accedi da qualsiasi dispositivo, ovunque sei. 99.7% uptime garantito.","Modulare. Attiva solo i moduli che ti servono, a partire da € 10,00 al mese",sostituire logo con logo (goccia di daisysolution),"ingranaggio margherita.png",Da fare
Home page,LM/LC/BC,tutti,aggiornare oltre 470 punti vendita,La fiducia di oltre 470 punti vendita,Scelto da più di 1000 punti vendita,,,Da fare
Home page,LM/LC/BC,tutti,Fare slide show dei loghi dei clienti,5 loghi fissi,Inserire i loghi principali,inserire i loghi in riferimento materiali (se riesci non differenziamo troppo i loghi l'uno dall'altro come grandezza),"logo dggroup.png                                                                          logo eurocom.png logo expert.png logo gaer.png logo sinergy.png logo model assistance.png logo trend.png logo trony.png logo unieuro.png logo elettrosintesi.png",Da fare
Home page,LM/LC/BC,tutti,Aggiornare numeri sotto i loghi e nella barra blu,"270 affiliati Unieuro, 200+ insegne Expert/Domex/Gaer, 2000+ clienti B2B come Model Assistance. Ogni giorno oltre 900 postazioni lavorano con Daisy per gestire vendite, magazzino, e-commerce e analytics.","250+ affiliati Unieuro, 200+ affiliati Expert, 50+ affiliati gruppo GRE. Ogni giorno oltre 4000 postazioni lavorano utilizzando DaisySolution ",,,Da fare
Home page,LM/LC/BC,tutti,Fascia Blu,"270 Affiliati Unieuro attivi 900+ Postazioni gestite 20+ Anni esperienza retail 300k+ Articoli banca dati","250+ Affiliati Unieuro attivi 4000+ Postazioni gestite 25 Anni esperienza retail 5000k+ Vendite gestite ogni anno",,,Da fare
Home page,LM/LC/BC,tutti,"1° Banner ""valore concreto""","990 € Pricing Modulare e accessibile Da 990€/anno per modulo base punto vendita. Nessun lock-in, nessun costo nascosto. Paghi solo quello che usi.","da 10 € / mese Pricing Modulare ed economico A partire da 10€/mese, nessun costo nascosto. Paghi solo quello che usi.","ATTENZIONE A CENTRARE IL TITOLO ""VALORE CONCRETO, NON PROMESSE""",,Da fare
Home page,LM/LC/BC,tutti,"2° Banner ""valore concreto""","-60% TCO Architettura Multi-tenant nativo TCO ridotto del 60% vs soluzioni tradizionali on-premise. Nessun server da gestire, nessun backup manuale.Pricing Modulare e accessibile","-60%      SAVING        “Riduci i costi del 60%. Elimina i server, non le performance.”                    ","ATTENZIONE A CENTRARE IL TITOLO ""VALORE CONCRETO, NON PROMESSE""",,Da fare
Home page,LM/LC/BC,tutti,"3° Banner ""valore concreto""","Togliere i due banner sopra, e farne 3","GRATIS    CUSTOMER SERVICE  ""Assitenza clienti 7/7 inclusa nel canone mensile, nessun costo aggiuntivo""","ATTENZIONE A CENTRARE IL TITOLO ""VALORE CONCRETO, NON PROMESSE""",,Da fare
Home page,LM,tutti,Richiedi un contatto,Richiedi una demo gratuita di 30 giorni,"inserire ""Richiedi un contatto""",,,Da fare
Contatti,LM,tutti,"Modificare ovunque ""Richiedi demo gratuita 30 giorni""",Richiedi demo gratuita 30 giorni,Togliere: Demo personalizzata sulle tue esigenze con setup guidato incluso.,,,Da fare
